City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,virginia beach,36.8529,-75.978,87.06,32,0,6.91,US,1681411316
356,puerto carreno,6.189,-67.4859,96.78,44,40,6.91,CO,1681411478
357,phuket,8.0,98.25,84.42,79,20,6.91,TH,1681411221
358,bandarbeyla,9.4942,50.8122,83.32,75,89,8.86,SO,1681411478
359,kostomuksha,64.571,30.5767,16.34,93,6,5.68,RU,1681411478
360,husavik,66.0449,-17.3389,37.85,90,100,6.11,IS,1681411409
361,mae sai,20.4335,99.8762,77.74,30,50,2.93,TH,1681411478
362,strezhevoy,60.7333,77.5889,-0.98,98,57,6.53,RU,1681411478
363,noumea,-22.2763,166.4572,79.0,99,100,5.91,NC,1681411478
364,ovsyanka,55.9575,92.5519,36.57,84,100,9.62,RU,1681411479
365,sambava,-14.2667,50.1667,76.28,88,15,2.44,MG,1681411479
